Feature Selection Intensity,F1-score
340,0.77415
330,0.77455
320,0.7768499999999999
310,0.778225
300,0.781825
290,0.781625
280,0.782875
270,0.7836500000000001
260,0.783825
250,0.78535
240,0.7862750000000001
230,0.785575
220,0.7878000000000001
210,0.7862
200,0.7866000000000001
190,0.7847250000000001
180,0.785475
170,0.78345
160,0.7843
150,0.787075
140,0.785525
130,0.786875
120,0.785425
110,0.78355
100,0.78355
90,0.7832250000000001
80,0.7838499999999999
70,0.7811
60,0.78305
50,0.78225
40,0.7824250000000001
30,0.7828
20,0.7809250000000001
10,0.78115
