Feature Selection Intensity,F1-score
340,0.777525
330,0.777525
320,0.776375
310,0.7776250000000001
300,0.7772
290,0.77895
280,0.778225
270,0.776775
260,0.7806749999999999
250,0.778325
240,0.779275
230,0.7786500000000001
220,0.7804249999999999
210,0.777675
200,0.7809
190,0.779725
180,0.7801499999999999
170,0.779425
160,0.782125
150,0.7755
140,0.7810750000000001
130,0.7785
120,0.7767999999999999
110,0.7772
100,0.77485
90,0.7773
80,0.7759
70,0.7782749999999999
60,0.7751250000000001
50,0.773
40,0.772625
30,0.771825
20,0.767225
10,0.749625
