Feature Selection Intensity,F1-score
340,0.777075
330,0.77925
320,0.7763
310,0.776525
300,0.777525
290,0.77625
280,0.777525
270,0.7774000000000001
260,0.7762
250,0.776275
240,0.77965
230,0.778125
220,0.7775000000000001
210,0.7772249999999999
200,0.7761
190,0.7767250000000001
180,0.77595
170,0.773675
160,0.773025
150,0.7737
140,0.774125
130,0.7755
120,0.772025
110,0.7741
100,0.7723000000000001
90,0.772725
80,0.770625
70,0.7715
60,0.770475
50,0.7683
40,0.760775
30,0.7615999999999999
20,0.7563500000000001
10,0.7496750000000001
