Feature Selection Intensity,F1-score
390,0.75075
380,0.75075
370,0.75075
360,0.75075
350,0.75075
340,0.75075
330,0.75075
320,0.75075
310,0.75075
300,0.75075
290,0.75075
280,0.75075
270,0.750625
260,0.750825
250,0.7504
240,0.7508000000000001
230,0.7502
220,0.751
210,0.7511
200,0.7505750000000001
190,0.750425
180,0.750275
170,0.750575
160,0.751125
150,0.751375
140,0.7512000000000001
130,0.7510749999999999
120,0.7523
110,0.752775
100,0.7545249999999999
90,0.7553000000000001
80,0.75695
70,0.760075
60,0.759125
50,0.764125
40,0.7659499999999999
30,0.759325
20,0.740225
10,0.708075
