Feature Selection Intensity,F1-score
400,0.75035
390,0.7512000000000001
380,0.75015
370,0.7489250000000001
360,0.749325
350,0.747575
340,0.752525
330,0.74785
320,0.7478
310,0.753875
300,0.7522499999999999
290,0.7499
280,0.753925
270,0.75395
260,0.75295
250,0.7600250000000001
240,0.756975
230,0.758125
220,0.760025
210,0.758575
200,0.755525
190,0.755175
180,0.7567
170,0.755725
160,0.7559750000000001
150,0.754725
140,0.754475
130,0.7539
120,0.7524749999999999
110,0.7498
100,0.747975
90,0.744675
80,0.7427250000000001
70,0.735125
60,0.7335499999999999
50,0.728125
40,0.7258249999999999
30,0.7251
20,0.7257
10,0.71905
