Feature Selection Intensity,F1-score
340,0.78255
330,0.7823
320,0.782525
310,0.782875
300,0.782875
290,0.782775
280,0.7826000000000001
270,0.7824500000000001
260,0.7822250000000001
250,0.782
240,0.7818750000000001
230,0.78185
220,0.78185
210,0.781075
200,0.7811250000000001
190,0.780675
180,0.78095
170,0.779725
160,0.77985
150,0.779425
140,0.77935
130,0.779975
120,0.7797750000000001
110,0.781025
100,0.7811250000000001
90,0.7798499999999999
80,0.7798
70,0.77975
60,0.781175
50,0.7823
40,0.78365
30,0.78355
20,0.78335
10,0.7665500000000001
