Feature Selection Intensity,F1-score
390,0.5586
380,0.55515
370,0.584225
360,0.597275
350,0.5974999999999999
340,0.6183
330,0.612325
320,0.615075
310,0.64165
300,0.6486750000000001
290,0.6435000000000001
280,0.645925
270,0.6615249999999999
260,0.680825
250,0.6952
240,0.6873750000000001
230,0.703275
220,0.704075
210,0.711325
200,0.705275
190,0.72185
180,0.717375
170,0.7218500000000001
160,0.7318
150,0.7337999999999999
140,0.737125
130,0.742675
120,0.7389749999999999
110,0.741575
100,0.744575
90,0.7433249999999999
80,0.74735
70,0.7463749999999999
60,0.746475
50,0.7499499999999999
40,0.744825
30,0.7495
20,0.7441
10,0.7428000000000001
