Msum_NUMPAR,0.126,0.029,0.712
Csum_NL,0.12,0.013,0.712
Msum_NLE,0.118,0.01,0.712
Msum_MISM,0.109,0.008,0.712
Csum_NII,0.097,0.023,0.712
Cmax_TNA,0.036,0.016,0.712
Csum_LLOC,0.03,0.008,0.712
No_C,0.018,0.013,0.712
Fsum_LOC,0.018,0.012,0.712
Msum_TLLOC,0.018,0.004,0.712
Csum_PUA,0.182,0.02,0.766
No_C,0.164,0.018,0.766
No_F,0.15,0.032,0.766
Cmax_NOI,0.12,0.01,0.766
Csum_LOC,0.055,0.006,0.766
Csum_NOP,0.017,0.01,0.766
Csum_WMC,0.017,0.006,0.766
Fsum_McCC,0.012,0.004,0.766
Csum_RFC,0.011,0.008,0.766
Csum_TNLPM,0.011,0.01,0.766
Csum_RFC,0.15,0.014,0.733
Csum_TNLPM,0.128,0.021,0.733
Csum_TNLA,0.128,0.019,0.733
Csum_NL,0.029,0.009,0.733
Csum_NOI,0.023,0.008,0.733
Fsum_LOC,0.017,0.015,0.733
Msum_NOI,0.014,0.006,0.733
No_F,0.012,0.008,0.733
Csum_TNPM,0.009,0.003,0.733
Msum_MIMS,0.008,0.014,0.733
Csum_NOI,0.166,0.026,0.756
Msum_McCC,0.165,0.012,0.756
Msum_NLE,0.16,0.014,0.756
Msum_MIMS,0.156,0.014,0.756
Csum_NL,0.095,0.013,0.756
Csum_CBO,0.047,0.016,0.756
Msum_TNOS,0.032,0.003,0.756
Cmax_NII,0.021,0.016,0.756
Csum_NII,0.018,0.011,0.756
Msum_HDIF,0.018,0.006,0.756
Csum_NLA,0.153,0.028,0.612
Csum_CBOI,0.133,0.014,0.612
No_C,0.114,0.012,0.612
Csum_TNLA,0.061,0.025,0.612
No_F,0.052,0.022,0.612
Csum_CBO,0.039,0.006,0.612
Csum_NOI,0.018,0.008,0.612
Fsum_PUA,0.014,0.009,0.612
Csum_NLPM,0.008,0.007,0.612
Cmax_NII,0.008,0.01,0.612
Csum_CBOI,0.22,0.022,0.754
Msum_NLE,0.167,0.016,0.754
Csum_LCOM5,0.162,0.016,0.754
Csum_NLM,0.161,0.01,0.754
No_F,0.159,0.014,0.754
No_C,0.145,0.025,0.754
Csum_TNLA,0.105,0.018,0.754
Csum_WMC,0.071,0.011,0.754
Csum_NII,0.036,0.009,0.754
Msum_LLOC,0.026,0.01,0.754
Csum_TNLA,0.235,0.038,0.678
No_F,0.151,0.025,0.678
Msum_NLE,0.139,0.017,0.678
Csum_CBOI,0.07,0.017,0.678
Csum_NOP,0.066,0.011,0.678
Csum_NII,0.018,0.008,0.678
Csum_TNPM,0.012,0.004,0.678
Csum_CBO,0.012,0.014,0.678
Msum_MIMS,0.008,0.007,0.678
Csum_LCOM5,0.008,0.008,0.678
Csum_NOI,0.191,0.022,0.762
No_C,0.188,0.049,0.762
Msum_NUMPAR,0.118,0.016,0.762
Msum_NII,0.085,0.009,0.762
Csum_CBO,0.026,0.01,0.762
Fsum_LOC,0.023,0.008,0.762
Msum_MISEI,0.023,0.0,0.762
Csum_NLPM,0.02,0.008,0.762
Csum_NL,0.017,0.009,0.762
Cmax_NII,0.015,0.008,0.762
Msum_NUMPAR,0.211,0.025,0.694
No_C,0.171,0.014,0.694
Csum_NLPM,0.102,0.009,0.694
Fsum_McCC,0.098,0.005,0.694
Fsum_LOC,0.03,0.007,0.694
Csum_RFC,0.026,0.009,0.694
Csum_NOP,0.023,0.013,0.694
Csum_NL,0.018,0.004,0.694
Msum_NLE,0.012,0.008,0.694
Msum_MIMS,0.012,0.008,0.694
Cmax_CBOI,0.155,0.012,0.768
Csum_NOP,0.153,0.003,0.768
Csum_CBOI,0.152,0.005,0.768
Csum_NOI,0.138,0.009,0.768
No_F,0.132,0.02,0.768
Fsum_PUA,0.045,0.025,0.768
Msum_NUMPAR,0.02,0.009,0.768
Fsum_LOC,0.018,0.01,0.768
Csum_NLE,0.015,0.005,0.768
Csum_NPM,0.012,0.012,0.768
Csum_RFC,0.2,0.026,0.719
No_C,0.168,0.017,0.719
Csum_TNLA,0.157,0.014,0.719
Csum_LLOC,0.145,0.02,0.719
No_F,0.14,0.015,0.719
Csum_NOI,0.137,0.022,0.719
No_M,0.04,0.022,0.719
Fsum_PUA,0.038,0.015,0.719
Cmax_CBO,0.034,0.012,0.719
Csum_NL,0.032,0.011,0.719
Csum_NOI,0.159,0.027,0.661
Msum_TNOS,0.131,0.033,0.661
Csum_NII,0.04,0.011,0.661
Csum_WMC,0.024,0.015,0.661
Csum_LCOM5,0.02,0.01,0.661
Csum_NLE,0.015,0.005,0.661
No_C,0.011,0.006,0.661
Csum_LOC,0.008,0.013,0.661
No_M,0.006,0.016,0.661
Msum_NOI,0.005,0.008,0.661
Msum_NUMPAR,0.173,0.019,0.69
Csum_CBO,0.168,0.021,0.69
Msum_NII,0.155,0.016,0.69
Cmax_CBO,0.145,0.015,0.69
No_F,0.114,0.038,0.69
Msum_HPL,0.048,0.004,0.69
Msum_NOI,0.03,0.015,0.69
Cmax_NII,0.008,0.007,0.69
Msum_MIMS,0.006,0.003,0.69
Csum_NLE,0.002,0.003,0.69
Csum_TNLA,0.141,0.012,0.702
