Feature Selection Intensity,MAE
330,93.9584
320,94.35582500000001
310,94.458325
300,94.532325
290,94.19120000000001
280,95.37772500000001
270,94.77225000000001
260,95.0632
250,95.10895000000001
240,94.908075
230,94.93955000000001
220,95.78855
210,95.1327
200,95.283375
190,94.925875
180,94.38550000000001
170,95.15764999999999
160,95.622825
150,95.5749
140,95.85245
130,97.46775
120,95.22260000000001
110,96.234825
100,96.991375
90,96.884425
80,97.2917
70,98.18075000000002
60,99.094775
50,98.82244999999999
40,100.70750000000001
30,103.75605
20,112.00572499999998
10,113.99527499999999
