Feature Selection Intensity,MAE
330,90.4712
320,90.220475
310,89.841825
300,88.73819999999999
290,88.9306
280,88.838875
270,89.02680000000001
260,90.82464999999999
250,90.213525
240,91.94517499999999
230,92.675825
220,93.5608
210,92.04737499999999
200,92.53965000000001
190,94.40225000000001
180,94.09394999999999
170,94.92569999999999
160,94.412475
150,93.65504999999999
140,95.0963
130,93.16862499999999
120,95.217625
110,94.3298
100,93.584275
90,93.8625
80,92.0064
70,93.1057
60,91.99487500000001
50,89.523425
40,91.01237499999999
30,93.72725
20,92.753
10,93.82485
