Feature Selection Intensity,MAE
330,245.38565
320,239.5531
310,236.9152
300,233.309425
290,220.04665
280,215.08395000000002
270,208.50327500000003
260,194.417725
250,184.898075
240,174.198225
230,171.8475
220,162.34134999999998
210,150.39389999999997
200,139.56300000000002
190,135.729425
180,130.224625
170,119.757175
160,116.864075
150,116.04024999999999
140,110.68162499999998
130,107.42462499999999
120,106.75700000000002
110,106.055475
100,104.07797500000001
90,101.7982
80,100.54429999999999
70,99.6809
60,97.699925
50,98.35274999999999
40,96.0607
30,94.38547500000001
20,96.426575
10,93.093475
