Feature Selection Intensity,MAE
330,73.23745
320,73.5212
310,73.34225
300,73.60839999999999
290,73.810925
280,73.329475
270,73.662775
260,73.41605
250,74.10507499999999
240,74.275925
230,74.30019999999999
220,75.02975
210,74.55952500000001
200,74.79627500000001
190,74.6764
180,74.97025
170,75.754025
160,75.55415
150,76.18447499999999
140,76.623775
130,76.580375
120,76.103725
110,75.49695
100,76.5823
90,77.016575
80,76.8543
70,79.51725
60,79.18125
50,79.04724999999999
40,80.37190000000001
30,80.52959999999999
20,80.201925
10,80.42475
