Feature Selection Intensity,MAE
330,73.78937499999999
320,73.48845
310,73.87242499999999
300,73.850675
290,73.590125
280,73.678975
270,73.376025
260,73.410725
250,73.763975
240,73.75227500000001
230,73.62719999999999
220,74.11534999999999
210,74.36449999999999
200,74.351625
190,74.08255
180,74.30665
170,74.44435000000001
160,74.70750000000001
150,74.765725
140,74.905875
130,74.314775
120,74.966275
110,75.04485
100,75.03602500000001
90,75.53485
80,76.02950000000001
70,75.666625
60,75.1038
50,76.108525
40,75.91495
30,75.816375
20,77.174725
10,79.549175
