Feature Selection Intensity,MAE
330,78.88130000000001
320,78.678
310,78.085825
300,76.72694999999999
290,74.898225
280,73.15322499999999
270,71.51675
260,70.19822500000001
250,68.98927499999999
240,68.025725
230,67.15545
220,66.3758
210,65.740225
200,65.162175
190,64.68035
180,64.35062500000001
170,64.13475000000001
160,63.96415
150,63.87457500000001
140,64.03565
130,64.351775
120,64.7074
110,65.302925
100,66.24532500000001
90,67.529125
80,69.2217
70,71.42974999999998
60,75.116275
50,80.60555
40,87.487325
30,100.39692500000001
20,129.483025
10,336.76189999999997
