Feature Selection Intensity,MAE
330,76.423675
320,75.536925
310,75.67355
300,75.93877499999999
290,75.499425
280,75.011675
270,74.91575
260,75.17065
250,75.41567500000001
240,75.503275
230,75.236025
220,75.51342500000001
210,75.35650000000001
200,74.969075
190,75.37472499999998
180,75.425825
170,75.40247500000001
160,75.68039999999999
150,75.319975
140,75.10040000000001
130,75.23209999999999
120,74.8268
110,74.49535
100,74.3831
90,74.051525
80,73.5966
70,72.819725
60,72.503375
50,72.6871
40,72.388625
30,71.96465
20,72.07192500000001
10,73.32169999999999
