Feature Selection Intensity,MAE
330,68.0892
320,67.891875
310,69.185775
300,69.31175
290,69.397525
280,70.05805000000001
270,69.58935
260,70.78007499999998
250,71.940325
240,71.52825
230,72.641875
220,72.819425
210,72.61994999999999
200,72.586825
190,72.203375
180,72.2365
170,71.72257499999999
160,71.472775
150,71.67155
140,71.435325
130,72.1691
120,72.68657499999999
110,72.182575
100,72.560225
90,72.9421
80,73.19827500000001
70,73.73942500000001
60,74.071725
50,74.41667499999998
40,74.861125
30,75.26735
20,75.97774999999999
10,77.861275
