Feature Selection Intensity,MAE
330,68.73122500000001
320,68.61555
310,68.727375
300,68.63285
290,68.60477499999999
280,68.58259999999999
270,68.6077
260,68.59655000000001
250,68.46679999999999
240,68.67452499999999
230,68.62674999999999
220,68.41479999999999
210,68.61432499999998
200,68.62404999999998
190,68.35170000000001
180,68.534
170,68.39462499999999
160,68.23567499999999
150,68.18845
140,68.210225
130,68.02397500000001
120,67.96152500000001
110,67.98895
100,67.88125
90,68.0367
80,68.15142499999999
70,68.68715
60,69.51292500000001
50,69.821375
40,70.678525
30,72.02282499999998
20,73.83295000000001
10,73.8262
