Feature Selection Intensity,MAE
330,94.06965
320,92.560375
310,93.206625
300,92.52765000000002
290,89.58475000000001
280,91.927675
270,88.85397499999999
260,88.24445
250,87.97515000000001
240,87.97985
230,89.10385
220,88.3774
210,86.603875
200,87.15367499999999
190,87.22115000000001
180,91.430375
170,89.47094999999999
160,88.612875
150,90.40085
140,87.11947500000001
130,88.39569999999999
120,95.32295
110,89.644875
100,86.5945
90,88.743625
80,92.29645
70,88.34195
60,89.289575
50,86.2145
40,84.8367
30,80.06632499999999
20,79.589325
10,76.70632499999999
