R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Var_Threshold
0.3182,74.5098,119.6488,41.7759,RF,388,QuantileTransformer_Normal,None,TRUE
0.2792,73.394,122.7656,39.683,RF,70,QuantileTransformer_Normal,kbf,TRUE
0.295,72.7683,121.6267,38.292,RF,20,QuantileTransformer_Normal,rf,TRUE
0.2754,76.1112,123.0704,41.0894,RF,20,QuantileTransformer_Normal,pca,TRUE
-0.0069,95.1703,143.845,61.093,MLP,388,QuantileTransformer_Uniform,None,TRUE
0.3186,73.6847,119.3866,43.0123,MLP,50,QuantileTransformer_Uniform,kbf,TRUE
0.2985,76.7063,121.3077,46.2102,MLP,10,QuantileTransformer_Uniform,rf,TRUE
0.0225,96.2673,141.6086,63.9566,MLP,150,QuantileTransformer_Uniform,pca,TRUE
-0.1138,72.4434,152.9372,12.6711,SVM,388,PowerTransformer,None,TRUE
-0.0318,69.3081,147.2367,14.0535,SVM,10,PowerTransformer,kbf,TRUE
-0.0688,70.7474,149.7754,13.6204,SVM,10,PowerTransformer,rf,TRUE
-0.1151,72.4926,153.0212,12.6689,SVM,330,PowerTransformer,pca,TRUE
0.3019,76.6987,120.7864,46.9338,KNN,388,QuantileTransformer_Uniform,None,TRUE
0.3188,72.0154,119.393,41.4075,KNN,150,QuantileTransformer_Uniform,kbf,TRUE
0.304,71.9647,120.65,37.56,KNN,30,QuantileTransformer_Uniform,rf,TRUE
0.2932,74.9629,121.7983,40.7512,KNN,10,QuantileTransformer_Uniform,pca,TRUE
0.055,69.1977,140.1599,13.4875,LGR,388,QuantileTransformer_Uniform,None,FALSE
0.0889,67.8919,138.37,13.2375,LGR,320,QuantileTransformer_Uniform,kbf,FALSE
0.0781,67.9898,139.1691,13.1125,LGR,230,QuantileTransformer_Uniform,rf,FALSE
0.0909,67.8812,137.43,13.2125,LGR,100,QuantileTransformer_Uniform,pca,FALSE
-0.2322,88.9262,159.2238,27.45,DT,388,QuantileTransformer_Normal,None,FALSE
-0.2126,88.7382,158.0951,27.9625,DT,300,QuantileTransformer_Normal,kbf,FALSE
-0.2045,87.0053,157.602,25,DT,50,QuantileTransformer_Normal,rf,FALSE
-0.3198,93.0935,165.5622,28.65,DT,10,QuantileTransformer_Normal,pca,FALSE
0.2749,83.8725,123.2318,59.5722,R,388,QuantileTransformer_Uniform,None,TRUE
0.2888,80.0102,122.0311,53.1201,R,50,QuantileTransformer_Uniform,kbf,TRUE
0.2697,81.1257,123.7289,55.0686,R,10,QuantileTransformer_Uniform,rf,TRUE
0.2962,81.7404,121.6083,58.0903,R,20,QuantileTransformer_Uniform,pca,TRUE
0.2917,71.8842,121.3585,34.7743,XGB,388,Max-absoluteScaler,None,FALSE
0.2749,72.3825,123.0997,32.8987,XGB,280,Max-absoluteScaler,kbf,FALSE
0.2901,71.5981,121.5743,34.4969,XGB,250,Max-absoluteScaler,rf,FALSE
0.0673,85.3316,139.1918,45.1461,XGB,30,Max-absoluteScaler,pca,FALSE
-0.2145,78.9002,159.8026,15.7008,GPC,388,QuantileTransformer_Uniform,None,TRUE
0.2195,64.6675,128.0379,18.6831,GPC,210,QuantileTransformer_Uniform,kbf,TRUE
0.2586,63.8746,125.0078,20.7729,GPC,150,QuantileTransformer_Uniform,rf,TRUE
0.0331,68.8533,142.8018,15.0658,GPC,20,QuantileTransformer_Uniform,pca,TRUE
0.2715,93.6215,123.4614,71.5177,ADA,388,Max-absoluteScaler,None,FALSE
0.2595,94.7795,124.4869,72.3262,ADA,300,Max-absoluteScaler,kbf,FALSE
0.2626,93.9584,124.1598,71.4351,ADA,330,Max-absoluteScaler,rf,FALSE
0.0659,109.2969,139.2138,88.1491,ADA,60,Max-absoluteScaler,pca,FALSE
0.3117,73.6825,120.1148,38.6641,GB,388,PowerTransformer,None,TRUE
0.3141,73.2374,119.907,37.4904,GB,330,PowerTransformer,kbf,TRUE
0.3169,73.376,119.6462,38.3657,GB,270,PowerTransformer,rf,TRUE
0.1701,84.1612,131.7529,51.0752,GB,20,PowerTransformer,pca,TRUE
