Feature Selection Intensity,MAE
330,83.615975
320,83.171125
310,82.98275
300,82.760525
290,83.171975
280,83.281525
270,83.330475
260,83.26375
250,83.04215
240,83.021425
230,83.09925000000001
220,82.78032499999999
210,82.284875
200,82.08779999999999
190,81.716725
180,81.30075000000001
170,81.32792500000001
160,81.35810000000001
150,81.37039999999999
140,81.23405
130,81.0954
120,80.81800000000001
110,81.025125
100,81.55885
90,81.29929999999999
80,81.47274999999999
70,80.80962500000001
60,80.31375
50,80.0102
40,80.471425
30,80.735575
20,81.17945
10,81.658625
