Feature Selection Intensity,MAE
330,84.01925
320,84.03310000000002
310,83.90415
300,83.71157500000001
290,83.590825
280,83.58477500000001
270,83.51175
260,83.44415000000001
250,83.371475
240,83.34625
230,83.334375
220,83.191225
210,83.172475
200,83.1894
190,82.93064999999999
180,82.89505
170,82.78790000000001
160,82.85415
150,82.66855000000001
140,82.45674999999999
130,82.49175
120,82.37542499999999
110,82.431225
100,82.34305
90,82.3894
80,82.367625
70,82.49159999999999
60,82.39179999999999
50,82.43212500000001
40,82.28965000000001
30,82.334925
20,81.9438
10,81.12575
