Feature Selection Intensity,MAE
330,74.477775
320,74.5005
310,74.482575
300,74.4635
290,74.49584999999999
280,74.431125
270,74.4153
260,74.364225
250,74.33907500000001
240,74.3588
230,74.3783
220,74.337275
210,74.298075
200,74.269925
190,74.295325
180,74.349275
170,74.2656
160,74.23395000000001
150,74.1205
140,74.08362500000001
130,73.99095
120,73.831125
110,73.836425
100,73.882925
90,73.61837499999999
80,73.55375000000001
70,73.56625
60,73.25952500000001
50,73.14659999999999
40,72.9146
30,72.78375000000001
20,72.7683
10,73.61415000000001
