Feature Selection Intensity,MAE
330,72.492625
320,72.55677499999999
310,72.627375
300,72.70415
290,72.7826
280,72.869
270,72.96215
260,73.060225
250,73.169625
240,73.291825
230,73.42887499999999
220,73.582775
210,73.755675
200,73.950775
190,74.165375
180,74.3937
170,74.646625
160,74.908475
150,75.18145
140,75.4641
130,75.764625
120,76.102425
110,76.47672500000002
100,76.8866
90,77.322725
80,77.76559999999999
70,78.201775
60,78.599225
50,78.95545000000001
40,79.25295
30,79.48599999999999
20,79.66625
10,79.78562500000001
