Feature Selection Intensity,MAE
330,72.789725
320,72.53042500000001
310,72.46375
300,72.47132500000001
290,72.4022
280,72.38255
270,72.904675
260,72.6088
250,73.29175000000001
240,73.44245
230,72.86755000000001
220,73.94005
210,73.989
200,74.7954
190,75.587625
180,75.792075
170,76.825925
160,75.9255
150,77.06815
140,76.803
130,77.493175
120,77.74075
110,77.190775
100,77.723475
90,76.75609999999999
80,77.112325
70,76.300825
60,76.205675
50,76.8086
40,76.80505000000001
30,75.45287499999999
20,76.6267
10,78.56597500000001
