Feature Selection Intensity,MAE
330,154.008125
320,151.93675000000002
310,149.422
300,145.825075
290,140.86152499999997
280,137.978525
270,133.8303
260,127.8907
250,123.996775
240,121.88879999999999
230,118.85815
220,112.83907500000001
210,110.62624999999998
200,105.47012499999998
190,103.161825
180,101.759625
170,99.87995
160,97.31824999999999
150,96.142075
140,95.176
130,93.4144
120,91.445725
110,91.240475
100,89.430025
90,87.64295
80,87.44087499999999
70,87.1485
60,86.16605000000001
50,85.3461
40,85.565675
30,85.331625
20,85.830425
10,85.44284999999999
