Feature Selection Intensity,MAE
330,94.95275
320,95.43915
310,95.05725
300,94.779475
290,95.16357500000001
280,95.99407500000001
270,95.569125
260,95.7521
250,95.887425
240,96.7693
230,97.393675
220,96.83805
210,96.92137500000001
200,96.763825
190,98.17435
180,97.624925
170,99.830725
160,100.8157
150,100.09214999999999
140,102.024125
130,102.82925
120,101.0172
110,102.15292500000001
100,102.03954999999999
90,105.22175
80,108.75147499999999
70,110.05320000000002
60,108.76655000000001
50,110.32024999999999
40,112.15974999999999
30,110.956725
20,111.01039999999998
10,119.7766
