Feature Selection Intensity,MAE
330,132.283075
320,131.970525
310,130.22942500000002
300,130.1895
290,128.64370000000002
280,126.953475
270,126.62474999999999
260,124.14080000000001
250,122.89185
240,122.13207500000001
230,120.49385000000002
220,119.67527500000001
210,118.872825
200,117.93130000000001
190,117.05529999999999
180,116.89735
170,115.39034999999998
160,115.07137499999999
150,114.69969999999998
140,113.814175
130,113.0882
120,111.64032499999999
110,110.59355000000001
100,109.30614999999997
90,110.311975
80,109.77984999999998
70,109.577675
60,109.29684999999999
50,109.878
40,113.12582499999999
30,114.965975
20,117.92175000000002
10,120.35684999999998
