Feature Selection Intensity,MAE
330,89.2106
320,88.625075
310,90.034425
300,87.54782500000002
290,89.745125
280,89.94165000000001
270,90.239375
260,90.58085000000001
250,89.83395
240,88.6679
230,89.08324999999999
220,90.32852499999998
210,89.3865
200,91.27645
190,90.626075
180,90.11865
170,89.54310000000001
160,90.257525
150,89.25767499999999
140,89.724325
130,89.77777499999999
120,91.5803
110,89.80102500000001
100,89.028925
90,87.4251
80,87.99997499999999
70,88.10877500000001
60,89.341125
50,87.00534999999999
40,88.611675
30,87.189925
20,87.775
10,90.50335
