Feature Selection Intensity,MAE
330,275.191575
320,271.0123
310,265.050525
300,256.22105
290,241.89700000000002
280,234.702975
270,222.04059999999998
260,208.533075
250,193.84035
240,183.6395
230,172.56757499999998
220,161.15342500000003
210,151.968175
200,143.892175
190,135.17235
180,126.47175000000001
170,117.303125
160,112.4417
150,109.274525
140,103.67722499999999
130,101.410775
120,98.8082
110,94.88034999999999
100,93.454075
90,91.544725
80,90.1858
70,89.337225
60,87.91965
50,86.25160000000001
40,85.99067500000001
30,84.5898
20,84.16115
10,84.65937499999998
