Feature Selection Intensity,MAE
330,77.61735
320,75.704375
310,74.100725
300,72.39160000000001
290,70.567425
280,68.87955
270,67.39804999999998
260,66.02439999999999
250,65.41869999999999
240,65.02439999999999
230,64.75857500000001
220,64.821175
210,64.66747500000001
200,64.72815
190,65.38395
180,66.926975
170,68.594725
160,70.84752499999999
150,71.84004999999999
140,73.050375
130,74.5906
120,77.75070000000001
110,84.3173
100,92.80342499999999
90,101.60905
80,114.60402500000001
70,133.196125
60,154.232575
50,168.68905
40,195.93375
30,244.10590000000002
20,414.0714249999999
10,1164.82375
