Feature Selection Intensity,MAE
330,78.9002
320,78.899975
310,78.89950000000002
300,78.89845
290,78.89702500000001
280,78.894825
270,78.8914
260,78.886575
250,78.88020000000002
240,78.872175
230,78.86240000000001
220,78.849575
210,78.833825
200,78.81445000000001
190,78.78865
180,78.75495
170,78.711025
160,78.653825
150,78.581975
140,78.498875
130,78.401675
120,78.27997500000001
110,78.1249
100,77.930375
90,77.66397500000001
80,77.31235000000001
70,76.869225
60,76.269425
50,75.2387
40,73.714725
30,71.61535
20,68.853325
10,69.132925
