Feature Selection Intensity,MAE
330,76.56312499999999
320,76.03892499999999
310,75.468625
300,74.663375
290,74.41637499999999
280,74.10582500000001
270,73.9286
260,73.94865
250,73.901975
240,73.16657500000001
230,72.73882499999999
220,74.274325
210,74.8211
200,75.347725
190,75.0934
180,74.464925
170,72.68379999999999
160,72.888825
150,72.015375
140,72.0939
130,72.33345
120,72.8904
110,73.69980000000001
100,73.77145
90,74.1266
80,74.301375
70,76.40335
60,78.6337
50,78.16114999999999
40,76.91024999999999
30,76.2237
20,76.8254
10,75.090625
