Feature Selection Intensity,MAE
330,76.69872500000001
320,76.69872500000001
310,76.7013
300,76.701075
290,76.703975
280,76.69555
270,76.69890000000001
260,76.692725
250,76.6825
240,76.70847499999999
230,76.67070000000001
220,76.710825
210,76.68072500000001
200,76.7161
190,76.67594999999999
180,76.71220000000001
170,76.6985
160,76.66867500000001
150,76.659775
140,76.7265
130,76.688725
120,76.770725
110,76.8145
100,76.77307499999999
90,76.68724999999999
80,76.690325
70,76.67920000000001
60,76.5889
50,76.665825
40,76.556725
30,76.88575
20,76.501575
10,74.96287500000001
