Feature Selection Intensity,MAE
330,68.69585
320,69.277225
310,69.325575
300,69.29792499999999
290,69.51537499999999
280,68.761525
270,68.58857499999999
260,68.62045
250,68.550225
240,68.180775
230,67.98975
220,68.770375
210,68.35294999999999
200,68.672975
190,68.16665
180,68.652275
170,68.688075
160,68.65585
150,68.86112499999999
140,69.382275
130,70.0393
120,70.050075
110,70.599175
100,71.60227499999999
90,71.55177499999999
80,72.2543
70,72.792825
60,73.316175
50,73.893325
40,74.8381
30,75.81455000000001
20,76.6257
10,78.396975
