Feature Selection Intensity,MAE
330,94.46302499999999
320,94.73305
310,93.88804999999999
300,92.207025
290,90.96334999999999
280,95.643775
270,93.65922499999999
260,93.404825
250,91.3261
240,88.443525
230,89.634825
220,86.35147500000001
210,83.59825000000001
200,84.6971
190,84.66295
180,85.63197500000001
170,84.488575
160,82.98889999999999
150,83.4038
140,80.0934
130,80.84087500000001
120,79.7563
110,79.772625
100,78.16605000000001
90,77.430825
80,79.46119999999999
70,76.54377500000001
60,80.307475
50,73.68465
40,74.09795
30,74.18875
20,76.334075
10,78.21495
