Feature Selection Intensity,MAE
330,99.667625
320,100.1875
310,98.9912
300,98.84790000000001
290,99.3702
280,99.15192499999999
270,100.51267500000002
260,99.77052499999999
250,100.22765
240,100.09285
230,99.237525
220,99.10035
210,97.98599999999999
200,98.048825
190,97.75172500000001
180,97.48319999999998
170,96.996925
160,96.593575
150,96.2673
140,96.90745
130,96.56210000000002
120,99.165175
110,99.866275
100,103.00135
90,101.29739999999998
80,101.47670000000001
70,101.80222499999999
60,105.5137
50,107.24000000000001
40,111.86692500000001
30,120.58575
20,121.9677
10,98.60567499999999
