Feature Selection Intensity,MAE
330,74.422675
320,74.50302500000001
310,74.39625
300,74.267325
290,74.276225
280,74.2201
270,74.32637500000001
260,74.2091
250,74.149325
240,74.1338
230,74.094875
220,74.465475
210,74.538725
200,74.45272500000002
190,74.31375
180,74.33295000000001
170,74.17765
160,74.13520000000001
150,74.256975
140,74.5043
130,74.502825
120,74.537275
110,74.26635000000002
100,74.044275
90,73.870875
80,73.444975
70,73.394025
60,74.39035
50,74.76790000000001
40,74.541925
30,74.4121
20,74.68655
10,75.21615
