Feature Selection Intensity,MAE
330,196.06504999999999
320,194.08715
310,189.73505
300,185.39367499999997
290,181.314175
280,176.90695
270,171.2984
260,164.457425
250,156.177075
240,148.9432
230,142.51885
220,136.951775
210,131.242725
200,123.98342499999998
190,117.06567500000001
180,110.35954999999998
170,105.33847500000002
160,100.1439
150,95.8081
140,92.16335
130,90.118625
120,88.4355
110,87.334275
100,86.0908
90,85.31134999999999
80,83.7237
70,82.241725
60,81.26325
50,80.26492499999999
40,78.939725
30,77.701925
20,76.11122500000002
10,77.4753
