Feature Selection Intensity,MAE
330,72.39289999999998
320,72.357375
310,72.2925
300,72.23762500000001
290,72.186775
280,72.09845
270,71.9939
260,71.88305
250,71.755975
240,71.618825
230,71.509925
220,71.4073
210,71.3148
200,71.21765
190,71.10799999999999
180,70.9621
170,70.87315000000001
160,70.79762500000001
150,70.74640000000001
140,70.64180000000002
130,70.509275
120,70.36262500000001
110,70.191025
100,70.024575
90,69.912825
80,69.8024
70,69.6692
60,69.6184
50,69.57685000000001
40,69.50094999999999
30,69.37715
20,69.335475
10,69.30815
