Feature Selection Intensity,MAE
330,72.44037499999999
320,72.44837500000001
310,72.43205
300,72.383575
290,72.362425
280,72.35795
270,72.36857499999999
260,72.38725
250,72.3955
240,72.40677500000001
230,72.40485
220,72.404475
210,72.394475
200,72.38250000000001
190,72.38957500000001
180,72.37575000000001
170,72.3604
160,72.35035
150,72.328975
140,72.31615000000001
130,72.28840000000001
120,72.263075
110,72.2357
100,72.19517499999999
90,72.13430000000001
80,72.07002500000002
70,72.011675
60,71.9317
50,71.850375
40,71.73555
30,71.564575
20,71.246425
10,70.74735000000001
