Feature Selection Intensity,MAE
330,71.876775
320,71.9313
310,72.1641
300,72.07752500000001
290,72.134275
280,72.0338
270,71.90119999999999
260,71.95815
250,71.59805
240,71.897875
230,71.652625
220,72.01495
210,71.90795
200,72.4779
190,72.843875
180,72.97425000000001
170,72.52537500000001
160,73.257025
150,73.41345000000001
140,72.87965
130,72.222275
120,72.74235
110,71.95375
100,72.170675
90,73.20824999999999
80,73.268475
70,73.958575
60,74.360925
50,74.34945
40,74.124125
30,75.0136
20,75.83075
10,77.22
