features,c_importance,category,granularity
Fsum_PUA,69.93199999999999,documentation,file
No_F,64.17900000000002,size,repository
No_C,43.10399999999999,size,repository
Csum_PUA,36.251000000000005,documentation,class
Csum_LCOM5,35.815000000000005,cohesion,class
Cmax_CBO,26.976,coupling,class
Fmed_LOC,24.612,size,file
Mstd_NII,21.92,coupling,method
Csum_AD,21.157,documentation,class
Cstd_NL,21.035,complexity,class
Csum_CBO,21.03,coupling,class
Csum_NLG,19.344999999999995,size,class
Cmax_NL,18.586,complexity,class
Csum_NOP,17.125,inheritance,class
Cstd_NPM,16.095000000000002,size,class
Csum_NM,15.704999999999998,size,class
Cmax_NOP,15.201999999999998,inheritance,class
Fstd_PDA,14.939,documentation,file
Msum_NUMPAR,14.287,size,method
Csum_NLPM,13.813999999999998,size,class
Mmax_NL,13.345,complexity,method
Cstd_TNPM,12.794,size,class
Csum_NPM,11.501,size,class
Csum_CBOI,11.485,coupling,class
Csum_TNM,10.775,size,class
Cstd_LCOM5,9.658,cohesion,class
Csum_TNPM,9.285,size,class
Cmax_NLPA,7.919999999999999,size,class
Csum_TNLG,7.683999999999999,size,class
Msum_LOC,7.392,size,method
Csum_NLA,6.987,size,class
Fmin_LLOC,6.674,size,file
Mmax_NOI,6.553,coupling,method
Fmed_LLOC,6.413000000000001,size,file
Fstd_LLOC,6.081,size,file
Cmax_RFC,6.037000000000001,coupling,class
Csum_NII,6.031,coupling,class
Cmax_NOC,6.025,inheritance,class
Cmax_TCLOC,5.957,documentation,class
No_M,5.929,size,repository
Mmed_HEFF,5.685,complexity,method
Cmed_CBOI,5.457,coupling,class
Csum_TNLA,5.312,size,class
Cstd_NOC,5.257,inheritance,class
Msum_TLOC,5.042999999999999,size,method
Csum_RFC,4.896999999999999,coupling,class
Cmax_TNLM,4.841,size,class
Fsum_LOC,4.541,size,file
Cstd_CBO,4.44,coupling,class
Mmax_NOS,4.419,size,method
Cstd_DIT,4.382,inheritance,class
Cstd_NOI,4.075,coupling,class
Csum_NLPA,3.9220000000000006,size,class
Cstd_WMC,3.762000000000001,complexity,class
Cmax_NLS,3.5610000000000004,size,class
Cstd_CBOI,3.4530000000000003,coupling,class
Cstd_TNLPM,3.403,size,class
Fstd_LOC,3.349,size,file
Csum_NOI,3.267,coupling,class
Csum_NOA,3.237,inheritance,class
Cmax_TNLS,3.197,size,class
Cstd_TNM,3.131,size,class
Cstd_NM,3.119,size,class
Mmax_NUMPAR,3.0810000000000004,size,method
Csum_NLE,3.048,complexity,class
Msum_NLE,2.942,complexity,method
Cmax_LCOM5,2.8160000000000003,cohesion,class
Cmax_PUA,2.77,documentation,class
Csum_TNLPA,2.652,size,class
Fmin_LOC,2.638,size,file
Mstd_NUMPAR,2.63,size,method
Csum_DIT,2.58,inheritance,class
Csum_NOC,2.5449999999999995,inheritance,class
Csum_NLS,2.461,size,class
Cmed_NLG,2.4070000000000005,size,class
Cmax_LOC,2.402,size,class
Csum_TLOC,2.375,size,class
Cstd_NOS,2.322,size,class
