No_C,0.116,0.025,0.488
Fsum_PUA,0.102,0.018,0.488
Cmax_TNS,0.052,0.011,0.488
Mmax_NOI,0.049,0.009,0.488
Cmax_CBO,0.041,0.014,0.488
Csum_CBO,0.037,0.006,0.488
Cmax_TCLOC,0.031,0.008,0.488
Fstd_LOC,0.026,0.017,0.488
Cmax_NOD,0.024,0.006,0.488
Cmax_NOP,0.024,0.003,0.488
Csum_PUA,0.151,0.015,0.329
Cmax_CBO,0.077,0.017,0.329
Fsum_PUA,0.063,0.027,0.329
Cstd_TNPM,0.058,0.015,0.329
Fstd_PDA,0.026,0.012,0.329
Fmin_LLOC,0.024,0.006,0.329
Cstd_NG,0.022,0.019,0.329
Cstd_DIT,0.022,0.009,0.329
Cmax_NOP,0.019,0.004,0.329
Mstd_MISM,0.017,0.003,0.329
No_C,0.073,0.014,0.303
Fsum_PUA,0.062,0.022,0.303
No_F,0.055,0.003,0.303
Cstd_TNPA,0.025,0.026,0.303
Cmax_TCLOC,0.021,0.011,0.303
Mmax_NL,0.019,0.003,0.303
Cmed_CBOI,0.014,0.003,0.303
Fstd_PDA,0.01,0.012,0.303
Mmed_HPL,0.009,0.004,0.303
Cstd_NL,0.009,0.001,0.303
Cmax_TLOC,0.099,0.022,0.246
Cstd_NL,0.055,0.028,0.246
Cstd_NPM,0.054,0.013,0.246
No_C,0.05,0.02,0.246
Fsum_PUA,0.041,0.052,0.246
Fmed_LOC,0.034,0.012,0.246
Mmed_HTRP,0.032,0.011,0.246
Fstd_LLOC,0.029,0.012,0.246
Mmax_NL,0.024,0.008,0.246
Csum_AD,0.023,0.007,0.246
No_C,0.143,0.03,0.467
Csum_CBO,0.136,0.026,0.467
Fsum_PUA,0.082,0.016,0.467
Mmax_NL,0.069,0.013,0.467
Mstd_NII,0.047,0.02,0.467
Cmax_NOP,0.047,0.011,0.467
Cstd_NL,0.046,0.055,0.467
Cmax_NL,0.031,0.008,0.467
Fmin_LLOC,0.021,0.012,0.467
Cmed_TLOC,0.021,0.015,0.467
Csum_PUA,0.215,0.033,0.36
Fsum_PUA,0.187,0.032,0.36
No_F,0.145,0.02,0.36
Csum_TNPM,0.064,0.019,0.36
Cstd_NL,0.049,0.003,0.36
Cmax_NOC,0.039,0.013,0.36
Cmax_CBO,0.025,0.007,0.36
Cstd_TNPM,0.024,0.036,0.36
Cmax_NL,0.022,0.009,0.36
No_C,0.02,0.009,0.36
No_C,0.117,0.043,0.222
Msum_TCLOC,0.037,0.008,0.222
No_F,0.025,0.019,0.222
Cmax_LCOM5,0.022,0.007,0.222
Fsum_PUA,0.021,0.019,0.222
Mstd_MISEI,0.02,0.008,0.222
Mmax_NL,0.013,0.006,0.222
Cstd_NPM,0.013,0.003,0.222
Cstd_TNPA,0.011,0.003,0.222
Cmax_DIT,0.009,0.011,0.222
Fsum_PUA,0.266,0.036,0.205
Cmax_TLOC,0.076,0.023,0.205
Cstd_TNLS,0.056,0.006,0.205
Cmax_TCLOC,0.046,0.019,0.205
Mmax_HVOL,0.042,0.011,0.205
Cstd_NPM,0.041,0.009,0.205
Cstd_NM,0.04,0.007,0.205
Csum_LCOM5,0.035,0.007,0.205
Cstd_NL,0.034,0.007,0.205
Fmax_LOC,0.034,0.008,0.205
No_C,0.187,0.026,0.506
Fsum_PUA,0.072,0.007,0.506
Csum_CBO,0.064,0.008,0.506
Mmax_NL,0.049,0.006,0.506
No_F,0.048,0.012,0.506
Cstd_NL,0.042,0.016,0.506
Cmax_NL,0.037,0.003,0.506
Mmax_NOI,0.033,0.011,0.506
Csum_NLPM,0.028,0.002,0.506
Cmax_NOP,0.026,0.002,0.506
No_F,0.153,0.038,0.248
Csum_PUA,0.109,0.02,0.248
Mmed_HPL,0.059,0.013,0.248
Mstd_MISM,0.055,0.013,0.248
Fstd_PDA,0.053,0.018,0.248
Csum_NLE,0.053,0.015,0.248
Msum_LOC,0.03,0.014,0.248
Cmax_RFC,0.03,0.007,0.248
Cstd_NM,0.023,0.008,0.248
Fstd_LOC,0.018,0.007,0.248
Fsum_PUA,0.064,0.024,0.221
No_C,0.059,0.018,0.221
Fstd_PDA,0.032,0.009,0.221
Csum_CBO,0.023,0.004,0.221
Cmax_TNLM,0.013,0.01,0.221
Cstd_DIT,0.011,0.005,0.221
Cmax_PDA,0.01,0.002,0.221
No_F,0.009,0.005,0.221
Csum_TNLA,0.009,0.006,0.221
Fmed_LOC,0.008,0.007,0.221
Cmax_TNLPA,0.155,0.006,0.168
Mmax_HVOL,0.139,0.018,0.168
Fsum_PUA,0.089,0.066,0.168
Mstd_MISEI,0.065,0.011,0.168
Cmax_NLPA,0.064,0.048,0.168
Csum_AD,0.063,0.009,0.168
Cstd_NL,0.061,0.031,0.168
Cmax_TCLOC,0.055,0.031,0.168
Cstd_NPM,0.041,0.007,0.168
Cmax_DLOC,0.036,0.004,0.168
No_C,0.111,0.041,0.387
Fsum_PUA,0.061,0.017,0.387
Cmax_TCLOC,0.053,0.011,0.387
Csum_CBO,0.053,0.003,0.387
Cstd_TNLPM,0.05,0.036,0.387
Mstd_NII,0.049,0.015,0.387
Csum_NOP,0.031,0.008,0.387
Cmax_NOP,0.024,0.004,0.387
Fmed_LOC,0.024,0.01,0.387
Mstd_HDIF,0.02,0.004,0.387
Csum_PUA,0.148,0.021,0.447
Fsum_PUA,0.141,0.016,0.447
Cstd_NL,0.087,0.008,0.447
Mmax_NOS,0.065,0.022,0.447
Msum_HCPL,0.042,0.018,0.447
Cmax_NOP,0.039,0.023,0.447
Msum_NL,0.032,0.006,0.447
Cmax_TNLPM,0.031,0.012,0.447
Cmed_CBOI,0.023,0.003,0.447
No_C,0.02,0.009,0.447
No_C,0.134,0.024,0.229
Fsum_PUA,0.051,0.015,0.229
Csum_CBO,0.022,0.01,0.229
No_F,0.022,0.015,0.229
Cstd_NOC,0.02,0.014,0.229
Fmed_LOC,0.019,0.01,0.229
Fsum_PDA,0.015,0.003,0.229
Mstd_LOC,0.015,0.008,0.229
Cmax_NL,0.012,0.002,0.229
Cstd_NOI,0.009,0.01,0.229
Csum_CBO,0.136,0.011,0.319
Cmax_TLOC,0.1,0.013,0.319
Cmax_TNS,0.071,0.007,0.319
Csum_CBOI,0.069,0.017,0.319
Cmax_TNLS,0.043,0.029,0.319
Csum_TNS,0.039,0.011,0.319
Csum_TNPA,0.034,0.008,0.319
Cstd_NM,0.034,0.013,0.319
Cstd_NPM,0.032,0.009,0.319
Fsum_PUA,0.031,0.03,0.319
No_C,0.14,0.032,0.414
Fsum_PUA,0.092,0.025,0.414
Csum_CBO,0.071,0.014,0.414
No_F,0.05,0.017,0.414
Mstd_NII,0.047,0.013,0.414
Cstd_NL,0.042,0.028,0.414
Cmax_TCLOC,0.042,0.014,0.414
Cmax_NOP,0.036,0.006,0.414
Cmax_CBO,0.026,0.011,0.414
Cmax_NL,0.025,0.042,0.414
Fsum_PUA,0.199,0.056,0.424
Csum_PUA,0.149,0.027,0.424
Cstd_NL,0.084,0.002,0.424
Fstd_LLOC,0.035,0.014,0.424
Mmax_NOS,0.033,0.013,0.424
Cstd_TNLM,0.023,0.013,0.424
Msum_NLE,0.023,0.007,0.424
Cstd_TNPM,0.021,0.018,0.424
Cstd_LOC,0.021,0.011,0.424
Fstd_PDA,0.019,0.007,0.424
No_C,0.075,0.015,0.277
Fsum_PUA,0.04,0.016,0.277
No_F,0.03,0.019,0.277
Cmax_PDA,0.028,0.007,0.277
Cstd_NPM,0.019,0.011,0.277
Cstd_PDA,0.017,0.01,0.277
Cmax_CBO,0.016,0.012,0.277
Cmax_TCLOC,0.014,0.001,0.277
Csum_TNLA,0.012,0.004,0.277
Cstd_NL,0.011,0.005,0.277
Cstd_NL,0.058,0.036,0.291
Cmax_TNLM,0.051,0.015,0.291
Mmax_NOS,0.043,0.015,0.291
Cmax_NL,0.041,0.016,0.291
Cmax_TNLS,0.037,0.043,0.291
Cmax_TNS,0.035,0.009,0.291
Mmed_MISM,0.035,0.008,0.291
Mmax_NL,0.029,0.015,0.291
Fmed_LLOC,0.024,0.021,0.291
Fmed_LOC,0.024,0.02,0.291
No_C,0.144,0.02,0.504
Fsum_PUA,0.075,0.01,0.504
Mmax_NL,0.075,0.07,0.504
Cmax_NL,0.069,0.07,0.504
Cmax_TCLOC,0.047,0.008,0.504
No_F,0.041,0.01,0.504
Cmax_NLPA,0.033,0.012,0.504
Csum_CBO,0.031,0.003,0.504
Mstd_NII,0.025,0.014,0.504
Csum_NLPM,0.024,0.024,0.504
Cstd_TNPM,0.075,0.049,0.354
Fsum_PUA,0.057,0.026,0.354
Cstd_NL,0.048,0.002,0.354
Csum_PUA,0.048,0.026,0.354
Mstd_MISM,0.04,0.012,0.354
Csum_AD,0.036,0.007,0.354
Fmed_LOC,0.022,0.01,0.354
Cstd_TNG,0.021,0.014,0.354
Mmed_HPL,0.02,0.004,0.354
Cmax_CBO,0.017,0.005,0.354
No_C,0.073,0.029,0.272
Cmax_TCLOC,0.051,0.011,0.272
Fsum_PUA,0.041,0.026,0.272
Cmax_NOC,0.03,0.012,0.272
Cstd_NOC,0.026,0.011,0.272
Csum_CBO,0.022,0.011,0.272
Mstd_NII,0.019,0.014,0.272
Csum_LCOM5,0.017,0.002,0.272
No_F,0.016,0.018,0.272
Csum_TNLA,0.016,0.003,0.272
Csum_NPA,0.054,0.018,0.024
Cmax_TNOS,0.048,0.009,0.024
Cstd_NM,0.043,0.012,0.024
Fmed_LOC,0.039,0.042,0.024
Cmax_RFC,0.038,0.013,0.024
Fmed_LLOC,0.038,0.024,0.024
Cstd_TNLS,0.038,0.008,0.024
Msum_CD,0.037,0.007,0.024
Fstd_PDA,0.034,0.008,0.024
No_F,0.031,0.026,0.024
Fsum_PUA,0.161,0.031,0.379
No_C,0.093,0.029,0.379
Mstd_NII,0.066,0.02,0.379
Csum_CBO,0.053,0.01,0.379
Cstd_TNLPM,0.04,0.028,0.379
Cstd_NOD,0.031,0.004,0.379
Cmax_NOP,0.028,0.003,0.379
Cmax_NL,0.028,0.013,0.379
Fstd_PDA,0.026,0.016,0.379
Cmax_NOD,0.022,0.009,0.379
Fsum_PUA,0.154,0.03,0.377
Csum_PUA,0.115,0.033,0.377
Cstd_NL,0.059,0.016,0.377
No_C,0.056,0.009,0.377
Cstd_TNPM,0.036,0.032,0.377
Msum_NL,0.036,0.007,0.377
Mmax_NL,0.026,0.014,0.377
Cmed_CBOI,0.025,0.011,0.377
Mmax_TNOS,0.023,0.014,0.377
Cmax_CBO,0.021,0.005,0.377
No_C,0.162,0.023,0.128
Fsum_PUA,0.067,0.029,0.128
No_F,0.045,0.014,0.128
Fstd_PDA,0.027,0.017,0.128
Cmax_TCLOC,0.02,0.004,0.128
Mstd_MISEI,0.016,0.003,0.128
Mstd_MISM,0.014,0.005,0.128
Cstd_NOC,0.012,0.003,0.128
Fsum_PDA,0.01,0.002,0.128
Cstd_NPM,0.01,0.004,0.128
Fsum_PUA,0.116,0.032,0.317
Csum_NLPA,0.096,0.018,0.317
Cstd_NL,0.055,0.026,0.317
Cmax_DLOC,0.05,0.008,0.317
