No_F,0.201,0.039,0.341
Csum_LCOM5,0.172,0.025,0.341
Csum_NOP,0.109,0.024,0.341
Csum_NLG,0.107,0.03,0.341
Csum_NM,0.087,0.025,0.341
Fsum_PUA,0.072,0.013,0.341
Csum_NII,0.046,0.017,0.341
Msum_NUMPAR,0.044,0.02,0.341
Csum_NLA,0.033,0.012,0.341
Csum_CBO,0.029,0.011,0.341
Csum_LCOM5,0.207,0.062,0.343
No_F,0.145,0.047,0.343
Csum_NPM,0.119,0.025,0.343
Msum_NUMPAR,0.084,0.019,0.343
Csum_TNPM,0.077,0.02,0.343
Csum_TNM,0.074,0.02,0.343
Fsum_PUA,0.042,0.033,0.343
Csum_NLG,0.04,0.027,0.343
Csum_NLPM,0.033,0.02,0.343
Csum_PUA,0.028,0.029,0.343
No_F,0.144,0.012,0.283
Csum_LCOM5,0.072,0.016,0.283
Cmax_CBO,0.051,0.009,0.283
Csum_NLG,0.038,0.005,0.283
Fsum_PUA,0.036,0.008,0.283
Csum_NLPM,0.03,0.009,0.283
No_C,0.03,0.006,0.283
Csum_NLA,0.026,0.007,0.283
Csum_TNLA,0.025,0.008,0.283
Csum_RFC,0.023,0.007,0.283
No_F,0.171,0.047,0.219
Csum_NPM,0.076,0.021,0.219
Csum_TNPM,0.072,0.02,0.219
Csum_TNM,0.065,0.018,0.219
Fsum_LOC,0.05,0.013,0.219
Msum_TLOC,0.048,0.013,0.219
Msum_LOC,0.045,0.013,0.219
Csum_LCOM5,0.043,0.023,0.219
Csum_NM,0.038,0.012,0.219
Csum_NOI,0.038,0.012,0.219
No_F,0.206,0.036,0.356
Csum_NLG,0.157,0.028,0.356
Csum_LCOM5,0.138,0.03,0.356
Csum_NM,0.083,0.036,0.356
Csum_NOP,0.07,0.018,0.356
Fsum_PUA,0.049,0.011,0.356
Csum_TNLG,0.045,0.014,0.356
No_C,0.041,0.014,0.356
Csum_NLPM,0.041,0.013,0.356
Csum_NLA,0.035,0.012,0.356
No_F,0.209,0.046,0.245
Csum_LCOM5,0.195,0.035,0.245
Csum_NPM,0.092,0.03,0.245
Csum_TNPM,0.066,0.024,0.245
Msum_NUMPAR,0.049,0.018,0.245
Fsum_PUA,0.044,0.014,0.245
Csum_TNLPM,0.041,0.015,0.245
Csum_TNM,0.04,0.018,0.245
Csum_NLPM,0.032,0.014,0.245
Csum_NLG,0.032,0.017,0.245
Csum_LLOC,0.843,0.173,0.279
Csum_RFC,0.734,0.172,0.279
No_M,0.589,0.154,0.279
Fsum_LOC,0.577,0.085,0.279
No_F,0.547,0.141,0.279
Csum_NOP,0.42,0.107,0.279
Fsum_LLOC,0.384,0.063,0.279
Msum_NUMPAR,0.35,0.054,0.279
Csum_NLPM,0.302,0.09,0.279
Csum_LCOM5,0.301,0.072,0.279
No_F,0.14,0.046,0.276
Csum_NPM,0.078,0.031,0.276
Fsum_PUA,0.071,0.024,0.276
Csum_LCOM5,0.069,0.028,0.276
Msum_NUMPAR,0.054,0.023,0.276
Csum_TNPM,0.041,0.02,0.276
Msum_TLOC,0.038,0.019,0.276
Csum_TNM,0.034,0.018,0.276
Msum_LOC,0.033,0.017,0.276
Csum_NM,0.029,0.016,0.276
Csum_NOP,2.248,0.194,0.334
Csum_NOA,1.435,0.118,0.334
No_F,0.705,0.077,0.334
Csum_LCOM5,0.693,0.063,0.334
Msum_NLE,0.659,0.059,0.334
Csum_NLG,0.649,0.074,0.334
Csum_LLOC,0.533,0.051,0.334
Csum_CBOI,0.49,0.072,0.334
Msum_NUMPAR,0.489,0.094,0.334
Msum_McCC,0.356,0.078,0.334
Csum_NPM,0.203,0.038,0.271
Csum_LCOM5,0.172,0.056,0.271
No_F,0.126,0.038,0.271
Csum_TNM,0.119,0.026,0.271
Msum_NUMPAR,0.081,0.023,0.271
Csum_NM,0.061,0.019,0.271
Msum_LOC,0.032,0.012,0.271
Fsum_PUA,0.028,0.025,0.271
Fsum_LLOC,0.027,0.008,0.271
Msum_TLOC,0.024,0.01,0.271
No_F,0.168,0.039,0.295
Csum_LCOM5,0.06,0.02,0.295
Cmax_CBO,0.045,0.018,0.295
Csum_NLG,0.042,0.014,0.295
Csum_RFC,0.039,0.017,0.295
Csum_PUA,0.03,0.013,0.295
Csum_NLA,0.028,0.013,0.295
Csum_NLPM,0.027,0.013,0.295
Csum_TNLA,0.027,0.013,0.295
